index,weight
ip,309.0
channel,240.8
os,119.0
app,110.0
timedelta_rev_ip-app-device-os,74.8
totalcount_ip-device,13.0
nunique_ip-app-os_app,12.6
timedelta_rev_ip-app-device-os-channel,12.0
hour_min,11.8
totalcount_app,10.8
timedelta_rev_ip-app-os-channel,10.6
totalcount_ip,10.2
hour,10.0
device,9.2
nunique_ip-app-device-os_app-device,8.6
totalcount_ip-device-os,8.4
timedelta_rev_ip-app-device,8.2
nunique_ip-app_ip,8.0
timedelta_rev_ip-app,7.2
count_ip,7.2
totalcount_app-channel,6.8
nunique_app-os-channel_app-channel,6.0
nunique_ip-app-device_ip-device,5.6
nunique_ip-device_ip,5.6
totalcount_app-device,5.4
nunique_app-device-os-channel_app-device-os,5.4
nunique_app-device-os-channel_app-channel,5.4
nunique_ip-app-device-os_ip-os,5.2
sameClickTimeCount_app-channel,5.2
count_device-os,5.2
nunique_ip-device-os_ip-device,5.0
nunique_ip-app-device-channel_ip-device,4.8
nunique_ip-channel_ip,4.8
count_app-device,4.4
sameClickTimeCount_app,4.4
nunique_app-device-os_app-device,4.4
nunique_ip-app-os-channel_app-channel,4.2
nunique_ip-app-device-os-channel_app-device-channel,4.2
count_ip-app,4.0
nunique_ip-app-channel_ip,4.0
nunique_ip-os_ip,4.0
timedelta_rev_ip-device-os,4.0
nunique_ip-app-channel_app-channel,3.8
sameClickTimeCount_app-device,3.8
nunique_device-channel_channel,3.8
nunique_ip-app-device-channel_ip-app-device,3.6
count_app-channel,3.4
timedelta_rev_ip-app-channel,3.4
nunique_ip-device-os-channel_device-channel,3.4
nunique_app-channel_channel,3.4
countratio_ip-app,3.4
nunique_ip-app-channel_ip-app,3.4
totalcount_ip-app-device-os,3.2
nunique_ip-device-os_ip-os,3.2
nunique_ip-app-os_ip-app,3.0
nunique_ip-app-device-channel_app-device-channel,3.0
timestamp,3.0
timedelta_rev_ip-device,3.0
timedelta_rev_ip-os,3.0
nunique_app-device-os-channel_app-os,3.0
nunique_ip-device-os_device-os,2.8
timedelta_ip-device,2.8
sameClickTimeCount_device-os,2.8
count_channel,2.8
timedelta_ip-channel,2.6
count_app-device-channel,2.6
count_app-device-os,2.6
count_ip-channel,2.6
nunique_ip-os-channel_channel,2.6
nunique_ip-app-device-os_ip-app,2.6
totalcount_device-os,2.6
totalcount_ip-channel,2.6
nunique_ip-app-device-os-channel_app-channel,2.6
count_ip-device-os,2.6
nunique_ip-app-device_ip-app,2.4
timedelta_ip-device-os,2.4
nunique_app-device-channel_channel,2.4
timedelta_ip-app,2.4
nunique_ip-app-device-os_ip-app-device,2.4
count_app,2.4
count_device-channel,2.4
nunique_ip-app-device-os-channel_ip-os,2.4
nunique_ip-app-device-os_app-device-os,2.4
timedelta_rev_ip-device-os-channel,2.2
count_app-device-os-channel,2.2
nunique_ip-device-channel_ip,2.2
nunique_ip-app-os_ip-os,2.2
sameClickTimeCount_os,2.2
totalcount_ip-os,2.2
nunique_ip-app-device-os-channel_ip-app-channel,2.2
nunique_ip-app-os-channel_app,2.2
nunique_ip-app-device-os_ip-device-os,2.2
totalcount_ip-app-os,2.2
nunique_ip-app-device-channel_app-channel,2.2
timedelta_rev_ip-channel,2.2
nunique_app-device-os-channel_app-device,2.0
nunique_app-device-os-channel_app-device-channel,2.0
countratio_ip-app-channel,2.0
countratio_ip,2.0
countratio_ip-device-os,2.0
totalcount_app-device-os,2.0
nunique_app-os-channel_channel,2.0
nunique_ip-device-channel_ip-device,2.0
totalcount_ip-app,2.0
nunique_app-os_app,2.0
nunique_ip-app-device-os-channel_app-device,2.0
timedelta_rev_ip-app-device-channel,2.0
nunique_ip-device-os-channel_ip-os,2.0
nunique_ip-app-device-channel_ip-app,2.0
nunique_ip-app-device-os-channel_ip-app-device,1.8
timedelta_rev_ip-os-channel,1.8
nunique_app-device-os-channel_channel,1.8
countratio_device,1.8
nunique_ip-app-os-channel_channel,1.8
nunique_ip-app-device-os-channel_device-channel,1.8
totalcount_device-channel,1.8
count_app-os-channel,1.8
totalcount_channel,1.8
nunique_ip-app-os-channel_ip-app-channel,1.8
nunique_ip-device-os_ip,1.8
timedelta_rev_ip-device-channel,1.6
timedelta_ip-app-device,1.6
countratio_app-os-channel,1.6
countratio_ip-app-device-os,1.6
count_ip-app-device-channel,1.6
nunique_ip-app-device_app-device,1.6
totalcount_app-device-os-channel,1.6
count_ip-device-channel,1.6
countratio_os,1.6
timedelta_ip-os,1.6
sameClickTimeCount_app-device-os,1.6
nunique_ip-app-os-channel_ip-app,1.6
nunique_app-os-channel_app-os,1.6
nunique_ip-app-os-channel_ip-app-os,1.6
timedelta_ip-app-channel,1.6
totalcount_app-device-channel,1.6
nunique_ip-app-device_ip,1.6
nunique_ip-app-device-os-channel_ip-app-os,1.4
nunique_app-device-os_os,1.4
nunique_ip-app-device-os-channel_ip,1.4
countratio_ip-device-os-channel,1.4
nunique_ip-device-os-channel_ip-device-os,1.4
nunique_app-device-os-channel_device-os,1.4
nunique_ip-device-channel_device-channel,1.4
totalcount_ip-app-device,1.4
totalcount_ip-app-channel,1.4
count_ip-os,1.4
totalcount_ip-os-channel,1.4
count_ip-app-channel,1.4
count_ip-device,1.4
nunique_ip-os_os,1.4
totalcount_app-os-channel,1.2
sameClickTimeCount_app-os,1.2
timedelta_app-device-channel,1.2
count_os,1.2
nunique_app-os_os,1.2
countratio_ip-os,1.2
timedelta_app-device-os-channel,1.2
count_ip-os-channel,1.2
totalcount_ip-app-device-channel,1.2
totalcount_ip-app-os-channel,1.2
count_ip-app-os,1.2
nunique_app-device-os-channel_device-os-channel,1.2
count_ip-app-os-channel,1.2
nunique_ip-device-os-channel_device-os-channel,1.2
nunique_ip-app-device-os-channel_app-device-os,1.2
timedelta_ip-device-channel,1.2
count_device-os-channel,1.2
nunique_ip-app-device-os-channel_ip-app,1.2
timedelta_ip-app-device-os,1.2
nunique_ip-app-os_ip,1.2
nunique_ip-app-device-os-channel_ip-channel,1.0
nunique_ip-os-channel_os-channel,1.0
nunique_app-device-channel_app-channel,1.0
sameClickTimeCount_os-channel,1.0
sameClickTimeCount_ip,1.0
totalcount_ip-app-device-os-channel,1.0
nunique_app-device-os-channel_app-os-channel,1.0
nunique_ip-app-device-os-channel_ip-device-channel,1.0
nunique_ip-app-device-os_device-os,1.0
nunique_ip-app-device-os-channel_ip-device-os,1.0
nunique_ip-app-device-channel_ip,1.0
nunique_ip-app-device-os_app,1.0
nunique_ip-app-device-os-channel_app-device-os-channel,1.0
nunique_ip-app-os-channel_ip-channel,1.0
nunique_ip-app-device-channel_app-device,1.0
nunique_ip-os-channel_ip-channel,1.0
timedelta_os-channel,1.0
nunique_ip-app-device-channel_ip-channel,1.0
nunique_ip-app-channel_channel,1.0
countratio_app-device-channel,1.0
countratio_app-device-os-channel,1.0
countratio_app,1.0
nunique_ip-channel_channel,1.0
nunique_device-os-channel_channel,1.0
count_ip-app-device-os,1.0
nunique_ip-os-channel_ip-os,0.8
nunique_ip-device-os-channel_ip,0.8
countratio_app-os,0.8
sameClickTimeCount_device-channel,0.8
sameClickTimeCount_channel,0.8
countratio_app-channel,0.8
countratio_device-channel,0.8
timedelta_rev_app-device-channel,0.8
nunique_ip-app-device-os-channel_ip-app-device-channel,0.8
totalcount_app-os,0.8
nunique_ip-device-os_os,0.8
countratio_ip-device-channel,0.8
sameClickTimeCount_app-device-channel,0.8
timedelta_rev_app-device-os-channel,0.8
countratio_ip-app-device-channel,0.8
timedelta_ip-app-device-os-channel,0.8
nunique_ip-app-os-channel_ip,0.8
nunique_ip-device-os-channel_ip-device-channel,0.8
count_os-channel,0.8
timedelta_device-os-channel,0.8
nunique_app-device-channel_device-channel,0.8
totalcount_os-channel,0.8
nunique_ip-app-device-os_ip-app-os,0.8
count_app-os,0.8
nunique_device-os-channel_os,0.8
nunique_ip-app-device_app,0.8
count_device,0.8
sameClickTimeCount_ip-device-channel,0.8
countratio_ip-app-device-os-channel,0.8
nunique_ip-app-device-os_ip,0.8
nunique_ip-app-device-channel_ip-app-channel,0.6
countratio_device-os-channel,0.6
nunique_ip-device-os-channel_os-channel,0.6
nunique_ip-app-device-os-channel_device-os-channel,0.6
timedelta_app-os,0.6
nunique_app-device-os-channel_os-channel,0.6
nunique_ip-app-os-channel_ip-os,0.6
count_ip-app-device,0.6
nunique_ip-app_app,0.6
sameClickTimeCount_ip-app-channel,0.6
nunique_device-os-channel_device-os,0.6
nunique_ip-app-device-os-channel_ip-app-os-channel,0.6
totalcount_ip-device-os-channel,0.6
sameClickTimeCount_app-device-os-channel,0.6
totalcount_ip-device-channel,0.6
countratio_ip-app-device,0.6
sameClickTimeCount_app-os-channel,0.6
countratio_ip-device,0.6
nunique_app-channel_app,0.6
nunique_app-os-channel_os-channel,0.6
nunique_device-os-channel_device-channel,0.6
sameClickTimeCount_ip-app,0.6
timedelta_ip-os-channel,0.6
nunique_ip-app-device-os-channel_ip-app-device-os,0.4
sameClickTimeCount_ip-device,0.4
nunique_ip-app-device-os-channel_channel,0.4
countratio_app-device,0.4
countratio_channel,0.4
sameClickTimeCount_ip-channel,0.4
nunique_ip-app-device-os-channel_ip-device,0.4
sameClickTimeCount_ip-app-device-os-channel,0.4
count_ip-app-device-os-channel,0.4
sameClickTimeCount_ip-app-device-channel,0.4
nunique_ip-app-device-os-channel_ip-os-channel,0.4
sameClickTimeCount_ip-device-os,0.4
day,0.4
nunique_ip-app-device-channel_device-channel,0.4
nunique_ip-device-os-channel_ip-channel,0.4
nunique_ip-app-device-os_ip-device,0.4
nunique_ip-device_device,0.4
nunique_app-device_device,0.4
nunique_ip-app-os-channel_app-os,0.4
timedelta_ip-device-os-channel,0.4
nunique_ip-device-os-channel_ip-device,0.4
timedelta_ip-app-os-channel,0.4
nunique_app-device-channel_app,0.4
nunique_app-device-os-channel_device-channel,0.4
timedelta_ip-app-device-channel,0.4
nunique_app-device-os-channel_os,0.4
nunique_ip-app-device-os_app-os,0.4
nunique_ip-device-channel_channel,0.4
timedelta_rev_os,0.4
nunique_ip-app-device-channel_channel,0.4
timedelta_rev_device-channel,0.4
nunique_app-device-os_app-os,0.4
nunique_ip-device-channel_ip-channel,0.4
nunique_app-device-channel_app-device,0.4
timedelta_rev_device-os,0.4
nunique_os-channel_channel,0.4
nunique_device-os-channel_os-channel,0.4
nunique_device-os-channel_device,0.2
sameClickTimeCount_ip-os,0.2
count_ip-device-os-channel,0.2
countratio_app-device-os,0.2
countratio_ip-os-channel,0.2
nunique_ip-device-os-channel_channel,0.2
nunique_app-device-os_device-os,0.2
nunique_ip-app-channel_ip-channel,0.2
nunique_ip-os-channel_os,0.2
sameClickTimeCount_ip-app-os,0.2
nunique_app-device-os-channel_device,0.2
countratio_ip-app-os,0.2
nunique_app-os-channel_app,0.2
countratio_os-channel,0.2
countratio_ip-channel,0.2
sameClickTimeCount_ip-app-device,0.2
nunique_app-os-channel_os,0.2
countratio_device-os,0.2
timedelta_rev_channel,0.2
timedelta_os,0.2
nunique_ip-app-device-os-channel_app-os,0.2
nunique_ip-app-os-channel_app-os-channel,0.2
nunique_ip-app-channel_app,0.2
nunique_os-channel_os,0.2
nunique_ip-app-os_os,0.2
timedelta_rev_app,0.2
nunique_ip-device-os-channel_ip-os-channel,0.2
timedelta_app,0.2
nunique_app-device-os_app,0.2
nunique_ip-device-os-channel_device-os,0.2
timedelta_rev_app-os-channel,0.2
nunique_ip-app-os_app-os,0.2
timedelta_app-device,0.2
nunique_ip-app-os-channel_os-channel,0.2
nunique_ip-app-device-os-channel_device-os,0.2
nunique_ip-app-device-os-channel_app-os-channel,0.2
timedelta_app-device-os,0.2
timedelta_rev_app-device,0.2
nunique_ip-app-device-os-channel_os-channel,0.2
timedelta_app-os-channel,0.2
nunique_ip-device-os_device,0.0
nunique_ip-app-device_device,0.0
nunique_device-os_os,0.0
nunique_app-device-channel_device,0.0
nunique_device-channel_device,0.0
nunique_app-device-os_device,0.0
nunique_device-os_device,0.0
countratio_ip-app-os-channel,0.0
nunique_ip-os-channel_ip,0.0
nunique_ip-device-channel_device,0.0
totalcount_device,0.0
nunique_app-device_app,0.0
totalcount_os,0.0
timedelta_device-channel,0.0
nunique_ip-app-os-channel_ip-os-channel,0.0
timedelta_rev_device-os-channel,0.0
nunique_ip-app-device-channel_ip-device-channel,0.0
nunique_ip-app-device-os-channel_app,0.0
nunique_ip-app-device-os-channel_device,0.0
timedelta_device,0.0
timedelta_rev_app-os,0.0
timedelta_rev_device,0.0
nunique_ip-app-device-os-channel_os,0.0
timedelta_rev_app-device-os,0.0
nunique_ip-app-device-os-channel_ip-device-os-channel,0.0
timedelta_rev_os-channel,0.0
