index,weight
ip,797
channel,641
timedelta_rev_ip-app-device-os,75
timedelta_rev_ip-app-os,70
timediff-meadian_app,48
totalCountByDay_app,41
count_ip,30
nunique_ip-device-os_ip-device,26
nunique_device-os-channel_os,25
timedelta2_rev_ip-app,24
timedelta2_rev_ip-app-os,22
nunique_ip-app_ip,20
timeDD_rev_ip-app-device-os,20
totalCountByDay_ip,19
hour_min,19
countratio_device,18
nunique_ip-app-device_app-device,18
timedelta_rev_ip-app-device-os-channel,17
nunique_ip-app-device-os_ip-os,17
countratio_channel,16
sameClickTimeCount_app-channel,14
timemedian_device-os,13
count_ip-channel,13
timedelta2_rev_ip-app-device,13
count_ip-app-device,13
nunique_ip-device_ip,13
timevar_os,13
hourvar_device,12
timemedian_os,12
nunique_ip-app-device_ip-device,12
countratio_os,12
nunique_ip-device-channel_ip,12
totalCountByDay_ip-device-os,12
nunique_app-device-os_os,12
nunique_ip-channel_ip,12
timedelta_rev_ip-app-os-channel,12
timediff-minmax_channel,12
timeDD_rev_ip-os,11
totalcount_ip-device,11
nunique_ip-device-os_device-os,11
timeDD_rev_ip-device-os,11
timemean_app-device,11
timeskew_app-device,11
timeDD_rev_ip,11
timedelta_rev_ip-os,11
timediff-meadian_ip-app-os-channel,11
timedelta_rev_ip-app-channel,11
timedelta_ip-app,11
timedelta_rev_ip-app,11
countratio_app-device,11
countratio_app,11
nunique_ip-os-channel_ip-os,10
totalCountByDay_ip-app-device,10
count_ip-device,10
totalCountByDay_app-channel,10
count_channel,10
totalcount_app,10
timedelta2_rev_ip-os-channel,10
nunique_app-os-channel_app-channel,10
timedelta_rev_ip-channel,10
totalcount_device-os,10
nunique_app-device-channel_app-channel,10
nunique_ip-app-os-channel_app-channel,10
dayvar_app-os,10
dayvar_app-device,9
nunique_ip-app-device-os-channel_app-device-channel,9
nunique_ip-app-os_ip-app,9
totalCountByDay_channel,9
timedelta2_ip-app,9
nunique_ip-app-device-os-channel_ip-app-os,9
nunique_ip-app-os-channel_ip-app-channel,9
timemax_ip,9
nunique_app-device-os-channel_channel,8
timedelta2_rev_ip,8
countratio_ip-app-channel,8
totalcount_ip-device-os,8
timedelta2_rev_ip-app-device-os,8
nunique_app-device-os-channel_app-device-channel,8
totalcount_ip-app,8
countratio_device-channel,8
totalCountByDay_app-device-os,8
timedelta_rev_ip,8
totalRatioByDay_ip-channel,8
nunique_ip-app-device-os-channel_ip-device-os,8
count_device-channel,8
timedelta_rev_ip-device-os-channel,8
nunique_ip-device-os-channel_ip-device-channel,8
nunique_ip-app-device-os_ip-app,8
nunique_app-os_app,8
nunique_ip-device-channel_ip-device,8
nunique_ip-app-device-os-channel_ip-device-channel,8
count_app-device-os,8
count_app,8
timediff-meadian_ip-app-device-os,8
hourvar_app-device,8
nunique_ip-app-device-os-channel_ip-device,7
countratio_device-os,7
nunique_app-device-os-channel_app-channel,7
timedelta2_rev_ip-channel,7
totalRatioByDay_app,7
nunique_app-device-channel_channel,7
timedelta2_rev_ip-app-channel,7
dayvar_app-os-channel,7
count_device-os,7
dayvar_ip-device-os,7
timedelta2_rev_ip-app-device-channel,7
countratio_ip-app-os-channel,7
countratio_app-device-os,7
nunique_ip-device-os_ip,7
sameClickTimeCount_app-device-os,7
timedelta_rev_ip-app-device,7
nunique_app-os_os,7
timemedian_app-device-os,7
hourvar_app-device-os,7
nunique_ip-app-device-os_ip-device-os,7
nunique_ip-app-device-os-channel_ip-os,7
timeskew_app,7
timedelta_rev_ip-os-channel,7
totalcount_app-device,7
sameClickTimeCount_ip,7
sameClickTimeCount_device-channel,7
nunique_app-device-os_app-device,6
timediff-meadian_ip-device-os,6
countratio_ip-device-os,6
sameClickTimeCount_ip-device,6
timediff-minmax_app-channel,6
timediff-meadian_channel,6
nunique_ip-app-device-os-channel_ip-app-device,6
timedelta2_ip-channel,6
timestamp,6
nunique_ip-os-channel_ip-channel,6
dayvar_ip-app-device-os-channel,6
nunique_ip-app-device-os_device-os,6
nunique_ip-app-device-os_app-os,6
timedelta2_rev_app-device-os,6
timedelta2_rev_ip-app-device-os-channel,6
timemax_ip-device-os,6
timemin_ip-os-channel,6
timediff-meadian_device-os,6
timeDD_ip-app-device-channel,6
timeDD_rev_ip-app-os-channel,6
timeskew_app-channel,6
timedelta2_ip-app-device,6
nunique_ip-app-channel_ip-app,6
sameClickTimeCount_os-channel,6
totalcount_ip-channel,6
count_app-device-channel,6
countratio_ip-app-device-channel,6
countratio_ip-os,5
timemin_ip-channel,5
timediff-meadian_ip-device-channel,5
totalcount_app-device-os-channel,5
timemedian_ip-app-os,5
hourvar_ip,5
timemin_ip-app-device,5
