index,weight
channel,143.8
app,83.8
os,63.0
timedelta_rev_ip-app-device-os,55.4
timedelta_rev_ip-app-os,16.2
nunique_ip-os-day_ip-day,14.6
timedelta_rev_ip-app-device-os-channel,10.6
hour_min,10.2
timedelta_rev_ip-app-device,5.4
timedelta_rev_ip-app-os-channel,5.2
totalcount_app-channel,4.8
nunique_ip-device-channel_ip-device,4.6
count_device,4.6
totalcount_ip-device-os,4.2
timevar_device-os,4.2
nunique_ip-device_ip,4.2
timedelta_rev_ip-os,4.0
totalcount_ip-app-device-os,3.8
timedelta_rev_ip-device-os,3.8
timedelta_rev_ip-app,3.8
nunique_ip-channel-day_ip-day,3.8
nunique_ip-app-device_ip-device,3.6
nunique_ip-app-hour_ip-hour,3.4
timediff-minmax_app-channel,3.4
nunique_ip-device-day_ip,3.4
dayvar_app-os-channel,3.2
count_ip-device,3.2
nunique_ip-app-device-channel_ip-app,3.0
nunique_ip-device-os_ip-device,3.0
nunique_ip-app-device-os-channel_ip-app-os,3.0
nunique_ip-app-device-channel_ip-app-channel,3.0
timevar_ip-app-device,2.8
nunique_ip-app-day_ip-day,2.8
count_ip-device-os,2.6
nunique_ip-app_ip,2.6
totalcount_ip-device,2.6
count_rev_ip-app-device-os,2.6
nunique_ip-os-hour_os-hour,2.4
nunique_ip-device-os_ip,2.4
count_ip-app-device-os,2.4
nunique_app-device-os-channel_app-channel,2.4
nunique_ip-app-device-os-channel_app-device-os,2.4
timemedian_channel,2.4
totalcount_ip-app,2.2
totalcount_ip-app-os,2.2
totalcount_app-device-os,2.2
dayvar_ip-app-device-os,2.2
nunique_ip-os-hour_ip-hour,2.2
nunique_ip-app-device-os_ip-device-os,2.0
timemax_ip-app-device-os-channel,2.0
totalcount_ip,2.0
timevar_ip,2.0
timemin_app-channel,2.0
timedelta_app-channel,2.0
count_rev_ip-app-device-os-channel,1.8
nunique_ip-app-device-os_ip-os,1.8
nunique_ip-app-device-os-channel_ip-os,1.8
nunique_ip-day-hour_ip-day,1.8
timeskew_ip-device,1.8
timedelta_rev_ip-os-channel,1.8
dayvar_channel,1.8
count_rev_ip-app-os,1.8
count_rev_ip-app-os-channel,1.8
timediff-minmax_ip-app-channel,1.6
nunique_app-os-hour_os-hour,1.6
dayvar_ip-app-os,1.6
timediff-minmax_ip-app,1.6
timemin_ip-app,1.6
nunique_device-channel-hour_channel-hour,1.6
timediff-minmax_ip-device-os,1.6
timedelta_rev_ip,1.6
hourvar_ip-app-device-os,1.6
nunique_ip-app-device-os_ip-app-device,1.6
