index,weight
app,247
timedelta_rev_ip-app-device-os,81
timedelta_rev_ip-app-os,32
timedelta_rev_ip-device-os,18
hour_min,16
device,16
nunique_ip-app_ip,15
timeDD_rev_ip-app-device-os,15
timedelta_rev_ip-app-device-os-channel,14
totalCountByDay_app,11
totalcount_device-os,11
nunique_ip-os_ip,11
nunique_device-os-channel_os,11
nunique_ip-app-device-channel_ip,11
nunique_app-os-channel_app-channel,10
timemedian_os,10
nunique_app-device-os-channel_app-device-channel,10
timedelta_rev_ip-app,10
nunique_app-device-os_os,9
totalcount_ip-device-os,9
count_ip,9
nunique_ip-device-channel_ip,9
totalcount_app,9
nunique_ip-channel_ip,9
nunique_ip-app-device-os_ip-device-os,9
nunique_ip-app-device_ip-device,8
dayvar_ip-app-device-os-channel,8
timeDD_rev_ip-app,8
totalRatioByDay_ip-device-os,8
hourvar_ip-device,8
nunique_ip-device_ip,7
timediff-minmax_app-channel,7
totalcount_app-channel,7
timemedian_device-os,7
nunique_ip-device-os_ip-device,7
dayvar_app-os-channel,7
totalcount_ip-os,7
nunique_ip-app-device-os-channel_ip-app-os,7
timeDD_rev_ip-app-device,7
countratio_device,6
totalcount_ip-app-os,6
nunique_app-device-os_app-device,6
nunique_ip-app-device-os_ip-os,6
sameClickTimeCount_ip,6
hour,6
timedelta_rev_ip-os,6
totalcount_ip-app-device,5
totalCountByDay_ip-device-os,5
timemax_ip,5
timeskew_ip-device,5
nunique_ip-device-os-channel_ip-device-os,5
timeskew_ip,5
timedelta2_rev_ip-app-device-os,5
timemax_ip-device-os,5
nunique_ip-device-os_ip-os,4
totalcount_ip-device,4
timedelta_rev_ip-device,4
timedelta2_rev_ip-os,4
timevar_os,4
dayvar_device-channel,4
nunique_ip-app-device-os_ip-app,4
timedelta_rev_ip-app-os-channel,4
timedelta2_rev_ip,4
timeskew_device-channel,4
timeDD_rev_app-channel,4
timediff-meadian_app-channel,4
nunique_ip-app-device-os-channel_ip-device-os,4
timedelta_ip,4
timedelta2_app-channel,4
nunique_ip-app-device_ip-app,4
nunique_app-device-os-channel_device-os,4
timeskew_device-os-channel,4
totalcount_ip-app,3
timedelta_ip-app,3
nunique_app-device-os-channel_device-os-channel,3
timeDD_rev_ip-device-os,3
timemean_device-os,3
timediff-meadian_ip-app-device-os,3
timemedian_app-device-os,3
count_app-channel,3
timedelta2_rev_ip-device-os-channel,3
timediff-meadian_app-device-channel,3
timediff-meadian_ip-app,3
timemax_ip-app-os,3
nunique_ip-app-os-channel_os-channel,3
timediff-minmax_ip-device-os,3
totalCountByDay_ip-os,3
timeskew_app-device,3
hourvar_device-os-channel,3
timediff-minmax_ip-app-os,3
timeDD_ip-app-device-os-channel,3
nunique_app-channel_channel,3
hourvar_os-channel,3
timeskew_os-channel,3
timedelta_ip-device-os-channel,3
timevar_app-device-os,3
nunique_app-device-channel_device-channel,3
timeskew_app-channel,3
timedelta2_ip-app-channel,3
sameClickTimeCount_ip-device-os,3
nunique_ip-app-device_ip,3
totalcount_ip-app-device-os,3
timedelta_rev_ip,3
