
#==============================================================================
# START !!! 901_cv_10per_328-1.py PID: 46428
#==============================================================================

[06:12:59] 16641350x100 matrix with 1664135000 entries loaded from ../data/dbuild_10per.mt
[06:31:36] 18490389x100 matrix with 1849038900 entries loaded from ../data/dvalid_10per.mt
[06:31:36] Tree method is selected to be 'hist', which uses a single updater grow_fast_histmaker.
[0]	build-auc:0.877596	valid-auc:0.87775
Multiple eval metrics have been passed: 'valid-auc' will be used for early stopping.

Will train until valid-auc hasn't improved in 50 rounds.
[5]	build-auc:0.926407	valid-auc:0.925763
[10]	build-auc:0.926592	valid-auc:0.925951
[15]	build-auc:0.927302	valid-auc:0.926565
[20]	build-auc:0.931847	valid-auc:0.93156
[25]	build-auc:0.940719	valid-auc:0.94011
[30]	build-auc:0.941259	valid-auc:0.940666
[35]	build-auc:0.952861	valid-auc:0.951845
[40]	build-auc:0.953906	valid-auc:0.952839
[45]	build-auc:0.954117	valid-auc:0.953046
[50]	build-auc:0.954449	valid-auc:0.953295
[55]	build-auc:0.95577	valid-auc:0.954625
[60]	build-auc:0.961	valid-auc:0.960275
[65]	build-auc:0.9635	valid-auc:0.962778
[70]	build-auc:0.965162	valid-auc:0.96449
[75]	build-auc:0.966428	valid-auc:0.965636
[80]	build-auc:0.967332	valid-auc:0.966333
[85]	build-auc:0.968133	valid-auc:0.967351
[90]	build-auc:0.968861	valid-auc:0.968155
[95]	build-auc:0.9695	valid-auc:0.968787
[100]	build-auc:0.970313	valid-auc:0.969489
[105]	build-auc:0.970825	valid-auc:0.970008
[110]	build-auc:0.971251	valid-auc:0.970463
[115]	build-auc:0.97154	valid-auc:0.970698
[120]	build-auc:0.971867	valid-auc:0.971012
[125]	build-auc:0.972275	valid-auc:0.971339
[130]	build-auc:0.972564	valid-auc:0.971566
[135]	build-auc:0.972904	valid-auc:0.971913
[140]	build-auc:0.973226	valid-auc:0.972174
[145]	build-auc:0.973475	valid-auc:0.972391
[150]	build-auc:0.973673	valid-auc:0.972489
