col,weight,gain,cover
app_count,120.8,2125.4757965616263,232830.1665221607
app-device_count,29.0,1297.3687369097001,4166.411917332324
ip-device_count,94.2,609.5605269618939,232381.94717320328
app_sametime_count_max,52.8,580.0195090550145,323150.37700905546
app-channel_sametime_count_mean,30.2,539.5999069720964,10146.958254876168
app_binary_10,9.0,405.4970894777778,7129.991170638888
ip-device-os_count,70.2,352.2049218466994,80129.75950816783
ip_count,209.8,347.87785277439474,74650.7736147558
channel_sametime_count_std,38.6,308.8519225087007,6417.528781555113
ip-os_count,91.4,278.593561923126,3463.5890430771988
app_sametime_count_mean,11.6,234.05988414749694,3331.053285107448
device-channel_sametime_count_max,23.0,232.99983474270175,6648.480795455599
app-device_sametime_count_std,11.6,226.01279475070027,2874.1773553912235
app-device_sametime_count_mean,10.4,225.81846663944057,2475.5447565706295
os-channel_timemean,64.0,211.5708251034449,4104.006135919111
app-channel_sametime_count_max,90.4,196.7908134727791,145599.32160057494
channel_binary_1,19.2,194.80622776024842,5780.645716408695
device_timemean,18.2,170.34653997777775,546456.497771623
device-channel_count,12.8,161.81175659963634,2056.716999678788
device-channel_sametime_count_mean,11.6,146.67424773377212,2304.927731201575
app_timestd,127.4,141.80773191075423,19733.331742060393
app-channel_sametime_count_std,37.6,141.50506989934374,4672.180048769154
os_binary_4,4.6,138.80246276666668,5572.693516666668
ip_sametime_count_max,34.2,120.225552785368,2135.206563058432
app_sametime_count_min,24.8,116.45245358985258,7986.171293623188
app_timemean,74.6,116.3668330614408,17127.25434021268
ip-app_count,55.8,111.0442608849127,3203.26922638672
device-channel_sametime_count_std,10.4,109.40313081385281,1385.560319144589
channel_binary_5,19.6,108.89717640168871,2908.4092713941463
device-os_count,28.2,105.6537134905141,3072.974432482254
ip-app-device-os-channel_sametime_count_std,19.4,101.878438158958,4063.860446900585
device-channel_timemean,41.0,100.22556692349852,3379.604522034823
os_timemean,63.4,99.8794924143297,154863.81303216782
device_binary_2,15.8,97.9908980335488,8834.448359241544
app-device_sametime_count_max,15.8,91.62707970202021,32757.768635808083
channel_sametime_count_mean,26.6,85.48222452774328,8415.072812271012
channel_sametime_count_max,49.6,85.11570546961788,66639.62290105905
channel_timemax,21.4,83.15931668969696,4272.050527835607
ip-channel_sametime_count_std,24.4,80.36981666974359,3791.233261428131
ip_timestd,112.8,79.78066427450337,2726.142111484269
ip-app-device-os-channel_timestd,69.4,79.47133397425948,2831.303113246152
app_binary_8,44.6,77.71021687699576,5348.040393744983
ip-app_sequence_count,22.8,76.35740847859657,4714.32602480844
ip-app-os_count,38.4,72.48110542144249,3207.5287793672387
device-os_sametime_count_min,3.8,72.17166483333332,8953.35163
os_binary_1,3.4,71.96735126666667,2435.785023333333
app-channel_count,40.8,67.07671346394423,2470.144139309594
device-os_sametime_count_mean,7.8,66.15507817142857,875.9030746666667
channel_binary_3,10.0,65.39317477777777,1648.7496076666666
channel_binary_8,33.6,65.34577762547713,2979.73205270869
app-device-channel_sametime_count_mean,9.0,63.06777065934066,3306.7949955714284
ip-device_time_delta,58.2,61.162732655852736,1948.1061355953811
app_sametime_count_std,13.6,57.97243549444444,3911.197258555556
app-os_sametime_count_std,19.0,57.30958860997443,4793.811638247442
device-os_timestd,46.4,55.71588386554246,3721.92404506506
ip-app-device-channel_time_delta,39.6,53.608783499986245,2835.521400276436
same_ip-app-device-os-channel_diff,59.0,51.58352898584042,3622.327366032418
app-device_timemean,47.8,50.13505998208872,10236.57200116396
device_timestd,9.8,49.759607095238096,5584.614189361904
app-device-channel_sametime_count_max,19.2,49.401422609835755,3018.485008553476
channel_timestd,86.4,48.73272792788445,4149.080342333225
ip-device-os-channel_count,37.4,44.17266290745446,4223.31404238251
ip-device-channel_count,40.8,43.11455119754932,2952.7049981803366
app-os_timemean,34.2,42.80136446697369,19454.437140001974
app-device_timestd,33.6,42.39412402459402,4195.948332738497
ip-channel_count,49.6,42.38628504818253,1763.2361384127537
app-device-os_count,37.0,42.20665284274511,1957.7642538048513
ip-app-os-channel_count,34.8,41.80516038941993,4825.580300259495
ip_sequence_count,67.0,41.073909155255876,2759.166846254856
os-channel_sametime_count_mean,15.4,39.92037145558526,4723.151121095959
device-os_sametime_count_std,4.8,39.410049449999995,2548.4233914999995
ip-device-channel_time_delta,36.4,39.38830664202942,2570.1599889549902
ip-app_sametime_count_std,25.6,39.287057899266344,3088.3614044813194
app-device-os_sametime_count_std,27.6,37.33945482696715,2275.844096060097
ip-app-device-os-channel_sequence_count,50.2,37.2547865764192,4762.473810596099
ip-channel_timestd,50.8,36.916014350695946,2519.003335700199
app-device-os-channel_timemean,32.8,36.56440862520189,1596.9902310204957
channel_binary_6,5.2,36.54623587857143,1346.6019565714284
app-os_count,14.0,36.452737725000006,3031.524349388889
device-os_timemean,58.6,36.31223316674836,106176.52241041993
ip-device-os-channel_time_delta,35.6,35.70861307990248,2709.868674742773
ip-device-os-channel_sequence_count,16.8,35.512538705091536,3434.80892111556
app-device-os_timemean,58.6,35.36466561169153,38725.37114056901
ip-app-os_sametime_count_std,16.0,35.297660099581535,3933.345510373491
channel_timemean,54.8,33.979119795459766,2988.9354479185104
device_count,6.4,33.64670315238095,3762.1226937142856
app-device-channel_count,23.0,33.35735437381506,2050.11972002331
channel_count,30.6,33.23680838748254,4867.14402513243
ip-app-device-os_timestd,44.2,32.77961268576737,2837.2602332089928
ip-device-channel_sequence_count,29.0,32.77651931152654,2602.3987230774487
ip_timemin,41.8,32.06901497333115,2536.8916607640126
ip-app-channel_count,15.6,31.851019320175443,3168.8005895899782
app-channel_timemean,37.8,31.47181194476851,2578.2925499019466
