col,weight,gain,cover
app-device_count,854.3333333333334,377.0036073439721,66780.79577773272
ip-device_count,639.3333333333334,248.41629398457022,84378.40339937799
app-channel_count,605.3333333333334,206.26021614207934,31365.02411422835
ip-os_count,395.3333333333333,137.09003247470133,23895.614304902643
device-channel_count,698.6666666666666,80.49943065968374,15823.145397563509
ip-app_count,396.0,60.96143430137969,6744.261514705071
device-os_count,507.0,55.2123882669484,3799.243391349851
ip-channel_count,378.6666666666667,49.24568369623986,3445.256755554628
app-device-channel_count,392.3333333333333,40.76140127200811,6031.515023816465
app-os_count,350.6666666666667,35.03711398933286,4555.503501073258
device-os-channel_count,284.3333333333333,27.733480244079374,3314.3178858298
app-device-os_count,310.6666666666667,20.20095125678563,3741.5588228423244
ip-device-os_count,315.6666666666667,19.707970188063303,2763.339844741629
app-device-os-channel_count,281.6666666666667,17.16452448712792,3114.9590419158376
os-channel_count,330.6666666666667,16.508812688573247,4207.377753952036
app-os-channel_count,301.6666666666667,14.942803673789548,3398.173684040046
timestamp,645.3333333333334,14.855967373054995,3006.5646963676422
ip-device-channel_count,249.66666666666666,12.931723911207582,3960.4745856088716
ip-app-device-channel_count,185.66666666666666,11.861411274432086,3396.3824329718686
ip-app-os_count,202.33333333333334,11.622994008025055,3111.6172337309886
ip-app-os-channel_count,249.0,10.706443801961228,4528.1480046391725
ip-app-device-os_count,266.0,10.171386249370054,4075.7219406465424
ip-app-device_count,234.33333333333334,10.090457692168505,3013.9079793158057
ip-device-os-channel_count,203.66666666666666,9.873648505925779,4396.160011318406
ip-os-channel_count,180.0,9.744166450916495,3285.3551756056263
ip-app-channel_count,205.33333333333334,8.869214588703139,3280.5393282503755
hour,520.6666666666666,8.72522461294272,2331.707474162369
