col,weight,gain,cover
app_count,87.4,296.8191071769901,30739.452672678053
app-device_mean,3.6,293.10677860000004,775.3796066666666
app-device_count,18.8,188.366723180719,604.8007157509804
ip-device_count,38.2,135.29932582950732,44381.65603660661
app_max,23.6,103.38527527492435,72887.91397715162
app-channel_mean,19.6,78.86560922882205,1319.5162520854635
app_std,5.8,70.19081176767676,30740.647159393935
ip-device-os_count,46.4,69.3077504096382,8321.744282451127
ip_count,105.0,67.27953007743332,16036.718772963528
channel_std,26.0,55.4413056500257,2439.569908975098
ip-os_count,45.2,55.33685876976197,320.25043993384014
app_binary_10,4.6,49.15995080952381,767.865171047619
os-channel_timemean,33.4,48.10729596368553,621.5674873331072
app-channel_max,45.0,37.156613520813636,22145.927426063296
device-channel_mean,6.8,36.1346012,519.6785743333332
device-channel_std,4.8,34.975855833333334,323.0547648333333
device-channel_max,11.0,34.22682779220779,683.8179666103896
channel_binary_1,8.4,32.65498486507936,819.1075595238096
channel_timemax,11.2,30.914675977855477,500.97900300233107
os_timemean,25.4,29.899921356479787,48639.50602156902
device-channel_count,8.6,29.738748333916085,204.59960361655013
ip-app_count,25.8,28.774394277314126,552.6317753580615
app_timemean,24.8,28.035900934831034,6903.917180292114
device_binary_2,6.2,26.49478062857142,895.5240228571427
ip_timestd,46.2,26.318239470465056,348.3075404666971
app_timestd,76.2,24.484462632803993,4276.4709029525275
app_min,15.2,23.59751184990842,999.7264393394383
channel_mean,13.4,23.177017200396826,5581.79421020202
ip-app-device-os-channel_std,7.8,22.78824813275613,550.1528046608946
channel_timestd,24.4,22.669365514653933,470.4296394394249
app-os_max,6.8,22.55079341818182,115.07853930000002
app-channel_std,7.8,22.19501346060606,8502.572916545456
channel_binary_3,3.4,22.07311795238095,142.5327669047619
app-device-channel_max,9.4,21.733076001680672,387.7369428179272
device-os_count,17.6,21.67872181313131,331.78384612121215
channel_binary_5,9.2,21.49603413888889,418.8201549898989
ip-app_std,10.0,21.15477647777778,3709.5561059444444
