col,weight,gain,cover
nunique_ip-app-os_app,33.4,280.1105430828482,2555.902348974295
nunique_ip-channel-hour_ip-hour,19.0,274.5799276607181,78459.30606101108
timediff-meadian_app,17.0,165.9281147666716,20603.904222807854
nunique_app-os-hour_app-hour,28.8,142.5658293904515,56209.53234313927
nunique_ip-app-os_ip-os,5.4,128.15512106666668,35769.61062933333
count_app,14.8,125.38349865770306,1007.4536460904546
totalcount_ip-device,5.0,121.8327311,32539.677347333334
timedelta_rev_ip-os-channel,9.8,119.97425687637363,281.6715493846154
timedelta_rev_ip-app-os-channel,10.4,98.14925632564102,294.56683953418803
nunique_ip-device-channel_ip-device,6.4,96.54964697878788,5372.607174060606
nunique_app-device-os_app,10.0,89.01166652014652,15989.158994554333
nunique_app-device-day_app,6.6,88.12634593506493,234.87014181818182
nunique_ip-channel-day_ip-day,17.4,77.56571130952382,19141.060601297617
nunique_ip-app-hour_app-hour,4.2,66.97193316666667,328.8878869
timedelta_rev_ip-os,16.8,64.40195508476066,319.6587105576416
nunique_ip-app-device-os_ip-device-os,9.4,59.573785096464654,8722.505024478789
nunique_app-channel_channel,4.0,57.92200474285714,449.68975028571424
nunique_device-channel-hour_channel-hour,20.8,57.8127816647897,48938.88249305757
timedelta_rev_ip-device-os-channel,10.4,56.08789681922,353.9037862566258
nunique_app-device-channel_app-channel,11.0,55.424054103030315,66238.0799170303
totalcount_ip-app,3.4,54.002017333333335,397.60201013333335
nunique_app-os_app,6.8,52.68329864285714,1253.7749635
nunique_ip-device-os-channel_ip-os,18.2,52.36527096050911,60215.32145451613
timemedian_channel,14.0,52.33846760714285,475.5746461309524
nunique_app-device-channel_channel,25.8,51.12207595899749,23997.004995769978
nunique_ip-os-channel_ip-os,4.0,49.69107640000001,49696.937618866665
nunique_ip-day-hour_ip-day,7.6,49.11916226190476,2979.7292217619047
hourvar_os-channel,15.4,49.030048772727284,365.92080007070706
nunique_app-device-os-channel_app-channel,19.8,44.287545961315786,17609.78094836158
totalcount_app,9.0,43.33647887662338,34363.863057110386
nunique_app-os-hour_app,8.8,41.20639172438672,621.1229056277056
nunique_ip-device-hour_ip,12.2,39.40695525541126,6062.546535373738
nunique_device-channel-day_channel,8.6,38.603784793650796,38848.133079923806
