index,weight
ip,755
timedelta_rev_ip-app-device-os,71
timedelta_rev_ip-app-os,67
totalCountByDay_app,45
timediff-meadian_app,38
count_ip,31
hour_min,26
nunique_app-device-os-channel_app-os,22
timeskew_app,21
countratio_channel,21
timeDD_rev_ip-app-device-os,21
timediff-meadian_app-device,21
timedelta_rev_ip-os,19
timemedian_channel,19
dayvar_app-os,19
nunique_app-device-channel_app-channel,18
nunique_ip-app_ip,18
timemean_app-device,18
nunique_ip-device-os_ip-device,17
totalcount_ip-device,17
timedelta2_rev_ip-app,16
countratio_app,16
nunique_app-device-os-channel_channel,16
nunique_ip-app-device-os-channel_ip-device-channel,16
timeDD_rev_ip-os,16
sameClickTimeCount_app,15
timedelta2_rev_ip-app-os,15
timedelta_rev_ip-app,15
timedelta_rev_ip-app-device-os-channel,15
nunique_device-os-channel_os,15
nunique_ip-device_ip,15
nunique_app-device-channel_channel,14
timedelta_ip-app,14
dayvar_app-channel,14
timedelta_rev_ip-app-os-channel,14
totalcount_app-device,14
totalCountByDay_channel,14
count_ip-app-device,14
nunique_ip-app-os-channel_app-channel,14
countratio_os,13
timedelta2_rev_ip-channel,13
countratio_device,13
nunique_ip-device-os-channel_device-os-channel,13
timedelta_rev_ip-device-os-channel,13
totalCountByDay_ip-app-device,13
timevar_os,12
count_app-device,12
nunique_ip-device-channel_ip,12
nunique_app-os-channel_app-channel,12
nunique_ip-app-device-os-channel_ip-app-channel,12
hourvar_device,12
timemedian_app-device,12
nunique_ip-app-device_app-device,12
nunique_ip-app-device-os-channel_ip-app-device,11
timemedian_os,11
timeDD_rev_ip-device-os,11
nunique_ip-channel_ip,11
nunique_ip-app-os-channel_ip-app-channel,11
count_app,11
nunique_app-channel_channel,11
totalCountByDay_app-channel,11
timedelta2_rev_ip-app-device-os,11
totalcount_device-os,11
nunique_device-channel_channel,11
timedelta_rev_ip-os-channel,11
dayvar_app-os-channel,11
nunique_ip-app-device-os-channel_app-device-channel,11
hourvar_app-device-os,11
sameClickTimeCount_device-channel,11
timediff-meadian_app-device-channel,10
timediff-meadian_ip-app-device-os,10
nunique_ip-device-os-channel_ip-device-channel,10
nunique_ip-app-device_ip-device,10
totalcount_app,10
countratio_device-channel,10
totalCountByDay_ip,10
timediff-minmax_ip-channel,10
timedelta2_rev_ip-app-channel,10
nunique_ip-app-device-os_ip-os,10
timedelta_rev_ip-device-os,10
timedelta2_rev_ip-os-channel,10
timedelta2_rev_ip-app-device,10
timedelta2_rev_ip-device-os,10
timedelta_rev_ip-device-channel,10
timediff-meadian_ip-app-os-channel,10
nunique_app-device-os-channel_app-channel,9
timedelta_rev_ip-app-channel,9
nunique_ip-os-channel_ip-os,9
timeDD_rev_ip,9
timedelta2_rev_ip,9
