index,weight
timedelta_rev_ip-app-device-os,111
hour_min,58
timedelta_rev_ip-app-os,47
timediff-meadian_app,44
totalCountByDay_app,44
dayvar_app-channel,36
nunique_ip-device_ip,32
nunique_ip-device-os_ip-device,25
timeDD_rev_ip-app-device-os,24
nunique_app-device-os_app-device,24
totalcount_ip-device-os,24
nunique_ip-app-device_ip-device,23
timemedian_app-device-os,23
nunique_app-device-os-channel_app-os,22
timeDD_rev_ip,21
timeDD_rev_ip-app-device-channel,21
countratio_ip-device-os,21
timedelta_rev_ip-app-device-os-channel,21
timemedian_channel,20
timediff-meadian_ip-device-os,20
dayvar_ip,20
nunique_ip-app-device-os_ip-os,20
count_app-device-os,20
totalRatioByDay_ip-device-os,19
dayvar_app-os,19
device,19
timedelta_ip-channel,19
nunique_ip-app_ip,18
timediff-meadian_ip,18
timedelta_rev_ip-device-os,18
totalcount_app,18
nunique_ip-device-channel_ip-device,18
nunique_app-device-channel_channel,18
sameClickTimeCount_app-channel,18
totalCountByDay_ip,18
hourvar_ip-os,17
timeDD_rev_ip-app,17
nunique_ip-app-device_app,17
hourvar_app-device-os,17
timeDD_ip-app-device-os,17
nunique_app-device-os-channel_app-channel,17
timedelta_ip-app-device,17
nunique_ip-app-device-os_ip-device-os,17
timediff-meadian_channel,16
dayvar_ip-app-device-os-channel,16
timevar_ip,16
dayvar_app-os-channel,16
timevar_app-device-os,16
nunique_ip-channel_ip,16
timeskew_app,16
count_app,16
sameClickTimeCount_ip-device,16
nunique_app-device-channel_device-channel,15
timediff-meadian_app-device,15
hourvar_ip-channel,15
timeDD_ip-app-device,15
timemedian_os,15
countratio_channel,15
timeskew_ip,15
timediff-meadian_ip-os,15
sameClickTimeCount_ip,15
timemax_ip-app-device-os,15
count_ip-app-device-os,14
timemedian_device-os,14
nunique_ip-app-os-channel_os-channel,14
dayvar_device-channel,14
timedelta_ip,14
nunique_ip-app-device-channel_ip-device,14
timeDD_rev_ip-os,14
timemax_ip-device-os,14
hourvar_ip-app-channel,14
timeDD_ip-os,14
hourvar_ip-device,14
timediff-meadian_ip-device-os-channel,14
nunique_ip-app-device-os-channel_ip-device-os,14
timedelta_rev_ip-app-device,14
timeDD_rev_ip-app-device,13
timedelta_ip-device-os-channel,13
nunique_app-channel_channel,13
hourvar_ip-app-os-channel,13
timemedian_ip-app,13
timeDD_ip-device-channel,13
nunique_ip-app-device-channel_app-device,13
timedelta2_rev_ip-app-device-os,13
totalCountByDay_ip-device-os,13
nunique_ip-os_ip,13
timediff-meadian_app-device-channel,13
countratio_ip-app-device-os-channel,13
countratio_device,13
count_ip,13
timedelta_rev_ip-app,13
nunique_app-device-os_os,12
timedelta2_ip-app-device-os-channel,12
nunique_ip-app-device-os-channel_app-device-channel,12
timevar_os,12
hourvar_ip,12
nunique_ip-app-channel_ip-app,12
nunique_ip-app-device-os-channel_ip-app-device,12
timediff-minmax_app-channel,12
timeskew_ip-os,12
timestamp,12
timedelta_ip-os-channel,12
totalCountByDay_ip-os,12
totalCountByDay_app-device-os,12
countratio_ip-app-os-channel,12
timediff-meadian_ip-app-device-channel,12
nunique_app-device-os-channel_channel,12
dayvar_ip-app-device-os,11
totalcount_ip-app-device,11
nunique_ip-app-device-os-channel_ip-app-os,11
timemean_app-device-os,11
timeskew_os-channel,11
hourvar_device-os-channel,11
nunique_ip-app-device-os-channel_ip-app-channel,11
timeDD_ip-device-os-channel,11
timeskew_app-channel,11
timedelta_ip-app-os,11
nunique_app-device-os-channel_app-device-channel,11
nunique_app-device-channel_app-channel,11
count_app-device-os-channel,11
timeDD_ip-app-device-os-channel,11
timedelta2_rev_ip-os,11
timemin_ip-os,10
timeDD_rev_ip-device,10
timemax_ip-app-device,10
totalcount_ip-os,10
nunique_ip-app-device-channel_ip-app-device,10
dayvar_app-device,10
nunique_ip-app-channel_app-channel,10
hourvar_ip-app-device-channel,10
timeDD_ip-app-os,10
nunique_device-os-channel_os,10
timedelta2_rev_ip-device-os-channel,10
sameClickTimeCount_ip-app,10
nunique_ip-os-channel_channel,10
sameClickTimeCount_app,10
timeskew_device-os-channel,10
timemedian_ip-device,10
timedelta2_rev_ip-app-device-channel,10
timevar_device-os-channel,10
nunique_app-device-channel_app,10
timemean_ip-app-device,10
dayvar_ip-device-os,10
count_ip-device-os,10
nunique_ip-device-channel_ip,10
nunique_ip-app-device_app-device,10
totalCountByDay_ip-app-device,10
count_channel,10
timemax_ip,9
nunique_ip-app-device-channel_ip-app,9
totalCountByDay_ip-app-device-channel,9
totalRatioByDay_ip-os,9
timedelta2_rev_ip-app-channel,9
nunique_device-channel_channel,9
timemean_ip-app-device-channel,9
timeskew_app-device,9
nunique_app-device-os-channel_app-device-os,9
timevar_ip-app-device-channel,9
timedelta2_app-channel,9
totalcount_ip-app,9
count_app-device-channel,9
timeDD_rev_ip-device-os,9
nunique_ip-device-os-channel_ip-os,9
timedelta2_rev_app-os,9
count_app-device,9
timemean_ip-app,9
totalCountByDay_app-device-channel,9
timediff-meadian_ip-app-device-os,9
nunique_ip-device-os-channel_ip-device-os,9
nunique_ip-device-os-channel_ip-channel,9
timevar_ip-app-channel,8
count_app-os-channel,8
totalcount_device-channel,8
countratio_app,8
timemean_ip-os,8
countratio_ip-app-os,8
timemean_ip-app-os-channel,8
count_device-os,8
timemedian_os-channel,8
nunique_app-os-channel_app-channel,8
timemax_ip-app-device-os-channel,8
countratio_ip-os,8
timeDD_rev_ip-app-os,8
timediff-meadian_ip-app-device,8
timeskew_ip-app,8
timedelta2_rev_ip-device-os,8
count_app-channel,8
timeDD_ip-app,8
timemean_ip-app-device-os,8
timedelta_app-os,8
timemedian_app-device,8
timeDD_ip-app-device-channel,8
totalCountByDay_channel,8
timedelta_ip-os,8
timediff-minmax_ip-device-os-channel,8
nunique_ip-app-os-channel_app-channel,8
totalRatioByDay_app-channel,8
sameClickTimeCount_app-device,8
dayvar_os,8
timedelta2_ip-os,8
timediff-minmax_channel,8
timediff-meadian_ip-channel,8
timemax_ip-app-os,8
timeDD_ip-channel,8
timedelta2_ip-device-os-channel,8
nunique_ip-app-os-channel_ip-app-channel,8
timediff-meadian_ip-device,8
timemean_app,8
timemin_ip-app-os,8
timemedian_ip-os-channel,8
timemin_ip-app-device,8
timeskew_app-device-os-channel,8
timedelta_ip-device-channel,8
timeDD_ip-device-os,8
timedelta_rev_ip-device,8
timemin_ip-app-device-os,8
timemean_app-device,8
totalcount_ip-app-os,8
timemean_ip-os-channel,8
timedelta_rev_ip-os,8
timemedian_ip-app-device-os,8
timeskew_ip-device,8
count_os-channel,7
timemean_device-os,7
timedelta_rev_ip-app-os-channel,7
timedelta2_rev_ip-app-os,7
timedelta2_rev_app-device-os-channel,7
nunique_ip-device-os_ip,7
count_ip-device,7
timedelta2_rev_device-os-channel,7
timedelta2_ip-app-device-os,7
dayvar_ip-device,7
timediff-meadian_ip-app-channel,7
nunique_device-os-channel_device-channel,7
nunique_app-device-channel_app-device,7
timedelta_ip-app-channel,7
timemedian_ip-app-os-channel,7
timediff-meadian_ip-app-os-channel,7
nunique_ip-app-device-os_ip-app,7
totalCountByDay_app-channel,7
timemin_ip-device-channel,7
sameClickTimeCount_os-channel,7
timeDD_rev_ip-os-channel,7
sameClickTimeCount_ip-app-device,7
hourvar_app-device,7
totalcount_device-os,7
timedelta_rev_app-device-os,7
sameClickTimeCount_device-channel,7
timeskew_ip-app-device,7
hourvar_os-channel,7
timediff-minmax_ip-app-os,7
timemin_ip,7
nunique_ip-app-os_ip-app,7
timemax_ip-app-os-channel,7
timeskew_ip-app-channel,7
nunique_ip-device-channel_ip-channel,7
timemedian_ip-app-device,7
totalcount_app-device-os,7
timemin_ip-os-channel,7
timemean_ip-device,7
nunique_ip-app-device-channel_ip,6
sameClickTimeCount_ip-app-os,6
countratio_ip-device,6
timemean_ip-app-os,6
timemin_ip-app-os-channel,6
timedelta2_rev_ip-app-device,6
timedelta_ip-device,6
hourvar_ip-app,6
timedelta_rev_ip,6
hourvar_ip-app-device,6
nunique_ip-app-device_ip-app,6
timemean_ip-app-device-os-channel,6
count_os,6
timevar_os-channel,6
hourvar_ip-os-channel,6
nunique_ip-device-os_ip-os,6
timedelta2_ip-app-os-channel,6
timemax_ip-os,6
timediff-minmax_ip-app-device-os,6
timemedian_ip-os,6
timedelta_rev_ip-device-channel,6
totalRatioByDay_device-channel,6
totalRatioByDay_ip-app-device-os-channel,6
count_ip-app-device,6
countratio_ip-app-device-channel,6
dayvar_ip-app-channel,6
sameClickTimeCount_app-os-channel,6
timeDD_rev_ip-device-os-channel,6
nunique_ip-app-device-channel_app-channel,6
totalcount_app-channel,6
timemax_ip-app-device-channel,6
nunique_ip-app-channel_ip,6
timedelta_ip-app,6
nunique_app-device-os-channel_device-os,6
timeDD_ip-os-channel,6
timediff-minmax_ip-app-device,6
hourvar_app-device-os-channel,6
timemedian_app-os-channel,6
nunique_ip-app-device-os-channel_ip-app-device-os,6
totalCountByDay_ip-device-os-channel,6
nunique_ip-app-os_ip,6
totalCountByDay_ip-device-channel,6
timemax_ip-device-channel,6
timemean_app-device-channel,5
timediff-meadian_ip-os-channel,5
timevar_ip-app-device,5
nunique_ip-app-device-os-channel_app-channel,5
countratio_device-channel,5
timeskew_ip-device-os-channel,5
totalRatioByDay_channel,5
timediff-minmax_ip-app-device-os-channel,5
timeskew_ip-os-channel,5
timevar_app-device-channel,5
timedelta_ip-app-os-channel,5
nunique_ip-device-os-channel_device-os-channel,5
dayvar_ip-device-os-channel,5
nunique_ip-device-os-channel_ip,5
timemedian_app-device-os-channel,5
timemin_ip-app,5
count_ip-app-os,5
count_ip-app-device-os-channel,5
timemedian_ip-device-os,5
timeskew_ip-app-device-channel,5
countratio_ip-app-channel,5
timedelta2_ip-app-channel,5
countratio_app-device,5
timedelta2_rev_ip-device,5
timemax_ip-app,5
timedelta_rev_ip-device-os-channel,5
sameClickTimeCount_device-os-channel,5
timeDD_rev_ip-app-device-os-channel,5
timedelta2_rev_ip,5
nunique_ip-app-device-os-channel_ip-os,5
timediff-minmax_ip,5
timedelta2_rev_ip-channel,5
totalcount_ip-app-device-os,5
count_device-channel,5
countratio_ip-app-device-os,5
timeDD_rev_app-channel,5
sameClickTimeCount_app-device-os,5
timemedian_ip-channel,5
countratio_ip-app-device,5
timedelta2_ip,5
totalcount_ip-device-channel,5
timeskew_device-os,5
timevar_ip-device,5
timedelta2_rev_app-channel,5
timediff-minmax_ip-app,5
nunique_ip-device-os-channel_ip-device-channel,4
nunique_ip-app-os-channel_app-os-channel,4
timevar_ip-channel,4
nunique_app-os-channel_app,4
dayvar_ip-device-channel,4
totalcount_ip-channel,4
countratio_app-os,4
totalcount_ip-os-channel,4
nunique_app-device-os-channel_device-os-channel,4
timeDD_ip-device,4
count_app-os,4
timemax_ip-device-os-channel,4
timediff-minmax_ip-device-channel,4
dayvar_device-os-channel,4
nunique_ip-app-device-os_app-os,4
sameClickTimeCount_ip-app-channel,4
timedelta_app-device-channel,4
dayvar_ip-app-device,4
timeskew_ip-app-device-os-channel,4
sameClickTimeCount_ip-app-device-os-channel,4
