index,weight
timedelta_rev_ip-app-device-os,98
totalCountByDay_app,44
timedelta_rev_ip-app-os,42
timediff-meadian_app,36
hour_min,35
dayvar_app-channel,32
timemedian_app-device-os,26
nunique_app-device-os-channel_app-os,25
timeDD_rev_ip-app-device-channel,24
timeDD_rev_ip-app-device-os,24
totalRatioByDay_ip-device-os,24
hour,24
totalcount_ip-device-os,23
nunique_ip-device_ip,21
nunique_ip-app-device-os_ip-os,20
nunique_app-device-os_app-device,20
totalcount_app,19
nunique_ip-device-os_ip-device,18
timemedian_channel,18
timedelta_rev_ip-app,17
timedelta_rev_ip-app-device-os-channel,17
device,17
nunique_ip-channel_ip,16
sameClickTimeCount_app-channel,15
nunique_app-device-os-channel_app-channel,15
timedelta_rev_ip-device-os,15
nunique_app-device-channel_device-channel,15
totalCountByDay_ip,15
timediff-meadian_app-device,14
dayvar_app-os-channel,14
nunique_app-device-channel_channel,14
nunique_ip-app-channel_ip-app,14
timevar_app-device-os,14
nunique_ip-app_ip,14
timedelta_rev_ip-app-device,14
sameClickTimeCount_ip-device,14
timediff-minmax_app-channel,13
totalcount_ip-os,13
count_app-channel,13
dayvar_app-os,13
dayvar_device-channel,13
nunique_ip-app-device_ip-device,13
countratio_channel,13
hourvar_ip,13
timeDD_rev_ip-app-device,12
hourvar_ip-channel,12
nunique_ip-app-device-os_ip-device-os,12
hourvar_app-device-os,12
timevar_ip,12
dayvar_ip-app-device-os-channel,12
countratio_ip-device-os,12
timediff-meadian_ip-device-os,12
sameClickTimeCount_ip,12
count_ip,11
sameClickTimeCount_app,11
timeskew_app,11
dayvar_app-device,11
countratio_device,11
timediff-meadian_ip-os,11
timeDD_rev_ip-app,11
dayvar_ip,11
nunique_app-device-channel_app,11
totalcount_ip-app-device,11
timedelta_ip-channel,11
timediff-meadian_channel,11
nunique_ip-device-channel_ip,11
timediff-meadian_app-device-channel,11
nunique_app-device-channel_app-channel,11
timemedian_os,11
timeDD_rev_ip-device,11
timedelta_ip-device-os-channel,10
timevar_os,10
timemedian_ip-os-channel,10
nunique_ip-app-device_app,10
nunique_ip-app-device-channel_app-device,10
count_channel,10
count_app-device-os,10
nunique_app-device-os_os,10
nunique_ip-os-channel_channel,10
dayvar_ip-app-device-os,10
nunique_ip-app-device-channel_ip,10
count_app-device-os-channel,10
timedelta_ip,9
timemax_ip-app-device-os,9
timemax_ip-device-os,9
timemedian_ip-app,9
timeDD_ip-app-device,9
sameClickTimeCount_app-device,9
timedelta2_rev_ip-device-os-channel,9
countratio_ip-app-os-channel,9
timemedian_device-os,9
timeskew_ip,9
timeDD_ip-app-device-os,9
hourvar_ip-device,9
nunique_app-device-os-channel_app-device-channel,8
nunique_ip-device-channel_ip-device,8
timemax_ip-app-os-channel,8
countratio_ip-app-device-os,8
timedelta_ip-os-channel,8
timemedian_os-channel,8
timemean_os,8
timeDD_ip-app-device-os-channel,8
totalRatioByDay_app-channel,8
nunique_ip-app-os-channel_app-channel,8
totalCountByDay_ip-device-os,8
dayvar_app-device-os-channel,8
count_app-device-channel,8
nunique_app-device-channel_app-device,8
hourvar_ip-os,8
timestamp,8
nunique_ip-app-device-os_ip-app,8
sameClickTimeCount_ip-app,8
totalCountByDay_ip-os,8
sameClickTimeCount_device-os-channel,8
timeDD_rev_ip-app-os,8
timedelta_ip-app-device,8
timediff-meadian_ip-device,8
timemean_app-device,8
nunique_ip-app-device_app-device,8
timeDD_ip-device-channel,8
timedelta_rev_ip-os,8
nunique_ip-device-os-channel_ip-device-os,8
count_app,7
timevar_ip-app-device,7
