col,weight,gain,cover
f59,373,1795.8028282573734,190717.48058335148
f29,223,419.87667376681566,5539.235239775783
f61,210,415.07187933333347,221173.43512052382
f72,128,378.9135148437501,12121.216832031252
f48,500,334.9875015800002,125547.81631737998
f88,691,280.08837862952214,61693.1529559335
f60,43,244.71963906976765,4129.292039534883
f99,58,213.16069103448274,9679.848696034482
f22,42,143.30307595238094,19526.89596666667
f98,266,132.18473165413516,10040.676869436089
f70,361,117.76006062603891,94949.02065412745
f62,548,102.02148414233575,18149.939851003644
f75,459,101.99443162527231,30281.517444422647
f55,730,93.04791825890406,7866.053063575336
f67,222,92.85378824324334,6616.761414414414
f93,63,81.25724399365076,6246.478074920635
f94,82,81.0830256097561,6511.252308170733
f26,484,79.3204376245869,7763.736155929753
f32,291,77.33840886254293,7384.239259621996
f65,101,72.68448514851491,9791.679313861392
f66,341,68.6347544809384,24524.42489199412
f63,99,66.82795535353536,8808.698858585856
f8,484,58.92362657231401,6074.296315805782
f24,161,58.60476616583851,153974.77714490678
f36,344,53.041767747093004,84176.25672796502
f91,292,50.48671332534247,25873.077713972616
f34,283,49.62816518021202,6652.8077872084805
f96,174,40.85675200574715,16697.10041040229
f82,918,37.7872588997822,7850.670610217868
f49,714,35.534168239495855,7383.816901988794
f31,280,35.218393649999946,13690.284662321434
f30,141,32.26360390070921,6624.517522836879
f68,293,30.84996523549488,8081.81679457338
f97,256,29.757062902343744,7257.366762968746
f64,161,29.72717000000003,9784.542581552794
f81,1375,29.199051015272705,6498.186498792726
f90,572,28.859433001748286,10123.457492167843
f37,380,27.596139450973705,7723.733803578943
f92,406,25.926975788177362,9263.098633522166
f18,453,25.757636152317886,8737.206035562915
f7,369,24.51209827642279,12636.519942926843
f28,409,22.913342628361853,33218.33969985332
f9,219,22.846825018264855,5470.16348479452
f42,556,22.77610829676258,7402.849349928046
f40,257,21.780037785992235,5686.729987976653
f27,518,21.5223242084942,8605.181475656369
f69,534,21.354186582397002,8051.964882977525
f39,402,20.268798731343306,20680.764784875628
f85,480,19.396845027083312,5626.358830229165
f38,476,18.487355357142864,6978.819708109247
f12,305,18.327937265573787,9217.311246557374
f43,514,18.208465426070042,8796.736336031132
f87,560,17.406319507142857,5234.55911696429
f0,410,17.34768832707316,8629.050305853665
f23,246,17.1845265894309,8668.930924024391
f95,180,16.656161722222226,9666.743289444446
f19,482,16.191984109958508,7412.476701431538
f84,443,16.1273311309255,4860.720016365687
f71,486,15.473520545267489,7530.063465185189
f11,448,15.41085350223213,7337.8436965625
f10,449,14.841363899777292,10169.660615612485
f25,549,14.823887295081965,8704.892570273221
f78,374,14.619975008021381,6164.297399759363
f2,510,14.573145111764692,7017.0749767646985
f20,634,14.54193169716088,7691.034541041012
f13,413,14.533208331719129,5065.087969878934
f35,455,14.282830131648351,9823.552279318686
f16,390,13.980555376923089,7243.024794000004
f89,542,13.91937225092251,6787.435697324718
f14,419,13.869130727923627,5279.413988782818
f21,440,13.574994740909084,11615.467157159092
f5,556,13.561042579136684,6959.023939658268
f80,1392,13.38402834315373,8518.668706336215
f3,499,13.369172422845697,6283.195107555117
f52,540,13.348735585185185,7886.787961740733
f33,351,13.25832115669516,7017.59174623931
f1,394,13.073569944162445,6016.381358959392
f44,670,12.59125505970149,6302.044795611939
f47,346,12.446559309248554,6944.934789017342
f79,1335,12.179239813483125,6342.6497674382035
f51,476,11.58579219747899,6027.015460126048
f83,414,11.579002743961361,6749.067293695649
f46,349,11.483553151862468,7175.57640859599
f57,328,11.379969664634146,5339.350449908536
f6,687,11.259432240174673,5967.35130299854
f74,527,11.177565464895634,6336.449757722963
f54,334,10.945081934131736,5319.884336646707
f45,576,10.940254019097218,5792.8755982291605
f50,491,10.91943751527494,5535.468279287167
f4,499,10.91221758717435,8477.102580220439
f56,621,10.63894060225443,5675.638242125601
f17,666,10.578219566066068,5600.8861399099105
f73,354,10.541160604519776,5904.995210564978
f77,542,10.300376894833947,6196.293923763834
f15,427,10.240980833934426,7109.633288758779
f86,788,10.233609197969544,4985.219810571063
f53,512,9.86285365820312,5583.612359570317
f76,484,9.657626621900823,4422.5385476446245
f41,643,9.551535944012452,5411.216974292375
f58,595,9.219246201680683,5521.380474168073
