
#==============================================================================
# START !!! 901_cv_15per_328-1.py PID: 54336
#==============================================================================

[07:06:48] 24962025x100 matrix with 2496202500 entries loaded from ../data/dbuild_15per.mt
[07:09:49] 18490389x100 matrix with 1849038900 entries loaded from ../data/dvalid_10per.mt
[07:09:50] Tree method is selected to be 'hist', which uses a single updater grow_fast_histmaker.
[0]	build-auc:0.921297	valid-auc:0.921011
Multiple eval metrics have been passed: 'valid-auc' will be used for early stopping.

Will train until valid-auc hasn't improved in 50 rounds.
[5]	build-auc:0.928881	valid-auc:0.928812
[10]	build-auc:0.928958	valid-auc:0.928889
[15]	build-auc:0.929065	valid-auc:0.929004
[20]	build-auc:0.939995	valid-auc:0.939764
[25]	build-auc:0.951612	valid-auc:0.95107
[30]	build-auc:0.952022	valid-auc:0.951442
[35]	build-auc:0.952467	valid-auc:0.951892
[40]	build-auc:0.953305	valid-auc:0.952713
[45]	build-auc:0.9536	valid-auc:0.953021
[50]	build-auc:0.954242	valid-auc:0.953622
[55]	build-auc:0.954962	valid-auc:0.954481
[60]	build-auc:0.955303	valid-auc:0.954792
[65]	build-auc:0.963363	valid-auc:0.96311
[70]	build-auc:0.964944	valid-auc:0.964654
[75]	build-auc:0.966033	valid-auc:0.96575
[80]	build-auc:0.966711	valid-auc:0.96637
[85]	build-auc:0.967314	valid-auc:0.966961
[90]	build-auc:0.968166	valid-auc:0.967791
[95]	build-auc:0.969024	valid-auc:0.968675
[100]	build-auc:0.969554	valid-auc:0.969192
[105]	build-auc:0.97006	valid-auc:0.969715
[110]	build-auc:0.970517	valid-auc:0.970222
[115]	build-auc:0.970953	valid-auc:0.970606
[120]	build-auc:0.971119	valid-auc:0.970774
[125]	build-auc:0.971487	valid-auc:0.971115
[130]	build-auc:0.97189	valid-auc:0.971549
[135]	build-auc:0.972107	valid-auc:0.971751
[140]	build-auc:0.972309	valid-auc:0.971955
[145]	build-auc:0.972461	valid-auc:0.972127
[150]	build-auc:0.972783	valid-auc:0.972394
